Complexity,Loss,Equation
1,4.329556,"1.093962"
2,4.1484528,"abs(x768)"
3,3.2146308,"x425 * 6.385007"
5,2.4687166,"(x610 + x24) * 5.196699"
7,1.922562,"((x610 + x684) + x425) * 5.073751"
8,1.9225619,"sqrt(((x610 + x684) + x425) * 25.742977)"
9,1.4679447,"((x684 + (x211 + x425)) - x619) * 4.9399004"
11,1.1583428,"(((x684 + (x425 + x211)) - x619) * 4.5072203) + 0.58788776"
12,1.0011244,"((x211 - x619) + sqrt(x684 + (x425 + x635))) * 4.5072203"
13,0.88754255,"(((x610 + (x24 - x508)) * 3.6642256) - (x9 + -2.3050287)) - x434"
14,0.82191604,"((x24 + (x610 + abs((x212 - x9) + 0.8575994))) - x508) * 3.3813784"
15,0.73683184,"((x212 - x9) + ((((x610 + 0.6078263) - x508) + x24) * 3.708586)) - x434"
16,0.6020672,"((abs(((x212 - (x9 + x610)) + x24) + 0.7511986) - x508) * 3.7814014) - x434"
17,0.59289795,"(((((((x24 - x508) + 0.8047941) + x610) * 1.9709086) + x212) - x9) * 1.8431975) - x434"
18,0.5746902,"((3.7814014 * (abs((x212 - (x610 + x9)) + (x24 + 0.7511986)) - x508)) - x434) + x613"
19,0.5102756,"x430 + ((((((0.56105167 - x277) + (x24 - x508)) + (x284 + x610)) * 3.5620437) - x699) - x434)"
