Complexity,Loss,Equation
1,4.329351,"1.0739907"
2,4.153419,"square(x768)"
3,3.260155,"x24 / 0.15873833"
4,3.0568218,"square(x425 + 1.0148299)"
5,2.5140398,"(x425 + x610) * 5.133903"
7,1.9538394,"(x425 + (x684 + x610)) * 5.024984"
9,1.5694151,"((x406 + (x425 + x212)) + x610) * 4.4529686"
10,1.5310571,"sqrt((x635 + (x684 + x610)) + x425) * 4.480874"
11,1.3357655,"((x610 + ((x212 + x425) + x406)) + x425) * 3.3788881"
12,1.2705178,"(((x610 + x212) + square(x425 - -0.2982868)) + x406) * 3.6321828"
13,1.0676366,"((x212 + (x425 + ((x406 + x610) - x508))) * x768) * 4.434544"
14,0.9775311,"(((x212 + square(x425 - -0.46541446)) + (x610 + x406)) - x508) * 2.8604438"
15,0.9261467,"x768 * (((((x212 + x610) - x508) + (x425 - -0.12278963)) + x406) * 4.2485795)"
16,0.6880916,"(x768 * (((square(-0.35226226 - x425) + x406) + (x212 + x610)) - x508)) * 3.497356"
18,0.53479123,"(((x406 + x610) - x409) + ((x212 - x508) + square(-0.41388908 - x425))) * (x768 * 3.3366249)"
19,0.53073305,"(x768 * square(1.8111938)) * (square(-0.40370962 - x425) + (x212 + ((x406 - x508) + (x610 - x409))))"
20,0.46236315,"x768 * ((3.2595937 * ((((square(x425 - -0.38633877) + x212) + (x610 - x692)) + x406) - x508)) + x378)"
22,0.41582534,"x768 * ((x26 + (((x212 + ((square(x425 - -0.3282769) - x692) + x610)) + (x406 - x508)) * 3.3199332)) + x378)"
24,0.39475575,"x768 * (((((square(-0.3454557 - x425) + x212) + ((x610 - x692) + (x406 - x508))) * 3.2306228) + x26) + (x378 + x47))"
28,0.28803292,"(x768 * ((square((-0.82895905 * (x211 - ((x212 + (15.788028 - x14)) * -0.7583444))) + ((x563 - x425) + x553)) / 5.2284513) + (x428 + -16.17331))) + x341"
30,0.22812465,"x341 + ((x672 + x768) * ((-16.130394 + x428) + (square(((x553 + x563) - x425) + (-0.8027627 * (x211 - (-0.7042359 * (16.293707 + (x212 - x14)))))) / 4.539155)))"
32,0.22359678,"x341 + (((square(((-0.7938748 * (x211 - (-0.686429 * (14.802093 + (x212 - x14))))) + ((x563 - x425) - 2.5975597)) + x553) / 5.3491726) + (-18.807064 + x428)) * (x672 + x768))"
34,0.17328198,"x341 + ((x672 + x768) * (((x428 + x506) + -19.032953) + (square((((((x211 - (((x212 - x14) + 14.559719) * -0.72036254)) * -0.81334937) + x563) - x425) - 2.5624764) + x553) / 5.6985297)))"
36,0.14533149,"x341 + ((x672 + x768) * (x428 + (x506 + ((square((((x563 + x553) - x425) + ((x211 - (((x212 + 14.849188) - x14) * -0.63645107)) * -0.8468979)) - 2.9625561) / 5.706763) + (x284 + -18.722328)))))"
38,0.14094745,"(x23 + -0.3309571) + ((x672 + ((x341 / 1.3393406) + x768)) * (x428 + ((square(((x563 + (x553 - x425)) - 0.8748096) + ((x211 - (((x212 + 15.801242) - x14) * -0.64940083)) * -0.8430399)) / 4.815672) + -16.170105)))"
40,0.12987725,"((((x23 + x428) + ((square(((x211 - (((x212 + 15.69374) - x14) * -0.6278118)) * -0.9519195) + ((x553 - x425) - 0.41457635)) / 5.2808995) + (x563 * -4.2635436))) + -15.715516) * (x768 + (x341 / 1.6085863))) + (x672 * 1.6051589)"
41,0.1291953,"((x672 * 1.6100439) + (((square(((x211 - (((15.685853 - x14) + x212) * -0.6346751)) * -0.94346976) + ((x553 - x425) - 0.4178726)) / 5.296436) + (x563 * -4.267288)) + ((x23 + abs(x428)) + -15.714073))) * (x768 + (x341 / 1.6255537))"
42,0.12898204,"(x672 * abs(-1.4698864)) + ((abs(((square(((((x211 - (((15.685853 - x14) + x212) * -0.6346751)) * -0.94346976) + x553) - x425) - 0.4178726) / 5.296436) + (x563 * -4.267288)) + (x23 + x428)) + -15.714073) * (x768 + (x341 / 1.6255537)))"
43,0.12037067,"x23 + ((((abs(x428 + (square(((x211 - (((15.884931 - x14) + x212) * -0.5875686)) * -0.94098824) + (((x553 - x425) - 0.53084844) + -0.40442526)) / 5.1281414)) + (x563 * -4.263195)) + -15.631289) * ((x768 + (x341 / 1.392641)) + x672)) - 0.40595946)"
44,0.11366891,"(x23 + ((((x563 / -0.91583127) + ((square((((x211 - (((x212 - x14) + 15.27964) * -0.62657875)) * -1.0223545) + ((x553 + x563) - x425)) - 0.07806712) / 5.018463) + (x428 + -16.22003))) * ((x672 + x768) + (x341 / 1.6479352))) * 0.89943546)) - 0.37414134"
46,0.112828836,"(((((square(((x211 - ((x212 + (15.696941 - x14)) * -0.6319245)) * -0.9266165) + (((x553 - x425) - 0.29158354) + 0.10756256)) / 4.6608067) + (x563 * -4.4742103)) + (x428 + -15.938766)) * ((1.0207375 * x672) + ((x768 + (x341 / 1.352353)) * 0.931931))) - 0.34241694) + x23"
48,0.1123233,"(((((x563 * -4.4742103) + ((square(((x211 - (((x212 + 15.696941) - x14) * -0.6319245)) * -0.9266165) + (((x553 - x425) - 0.29158354) + 0.10756256)) / 4.6608067) + x428)) + -15.938766) * ((x672 * 1.0207375) + ((x768 + (x341 / 1.352353)) * 0.931931))) - 0.34241694) + (x23 / 0.94325745)"
50,0.1117262,"(x563 * -0.58763754) + ((x23 + x68) + (((x428 + ((square(0.2867967 - ((((x211 - (-0.62335706 * (x212 + (15.83888 - x14)))) * -0.92457014) + x563) + (x553 - x425))) / 4.6843495) + -15.842019)) * (((x341 / 1.5457782) + x768) * ((x672 * 1.3740447) + 0.93506616))) - (x672 - -0.42513776)))"
52,0.11004316,"((x68 + ((-0.557723 * x563) + x23)) + (((((square(((((x211 - (-0.6153862 * ((x212 + 15.778312) - x14))) * -0.93389314) + (x563 + x553)) - x425) - 0.25183344) / 4.6091695) + (-15.896146 + x428)) * ((x768 + (x341 / 1.6692518)) * ((x672 * 1.5202376) + 0.92684245))) - x672) - 0.32502255)) - x623"
57,0.109643586,"((x23 - -0.4147908) + ((((square(0.19503514 - (x563 + ((((x211 - (-0.61391 * (x212 + (15.6748905 - x14)))) * -0.93346226) + x553) - x425))) / 4.419913) + (x428 + -16.005547)) * (((x341 / 1.6757435) + x768) * 0.90900993)) + (((x672 * 1.5475144) - (-0.96331644 * ((x53 - sqrt(x563 * 0.41975573)) + x68))) - 0.78726363))) + x446"
58,0.105204806,"(((x23 - -0.4343771) + (((x428 + -15.968564) + (square((x563 + x553) + ((((x211 - (((x212 - x14) + 15.710902) * -0.6374651)) * -0.89262223) - x425) - 0.21401009)) / 4.4343247)) * ((x768 * 0.9419094) + (x341 / 1.7030054)))) + ((x672 * 1.3988143) - ((x563 * -0.7911003) * (x68 + -0.6532835)))) - (((x430 + x519) * -0.18118131) + 0.7676981)"
70,0.098429546,"(((((x23 - -0.5134158) + ((((x341 / 1.5179734) + x768) * (x428 + ((square(((x563 + (-0.8390621 * (x211 - ((x212 + (15.634143 - x14)) * -0.6844276)))) + (x553 - x425)) - 0.16590118) / 4.403662) + -16.033989))) * 0.9204452)) + (x672 * 1.5520767)) - ((((x104 - 1.4143215) * ((x500 * x188) + (x563 * 0.5145594))) + x68) * -1.1649437)) - ((((-0.7120261 - x537) + x519) * -0.12792929) + 0.6884673)) + x266"
76,0.08956864,"(x672 * 2.37388) + (((x768 * (((square(((x553 - (x55 + 0.16662061)) + ((x211 - ((x212 + (15.507012 - x14)) * -0.56129336)) * -1.0899742)) - x425) / 4.958941) + (x428 + -15.860403)) * 0.8830858)) - (((0.846592 - ((x428 + (((x563 * x768) + ((x341 / 1.6094488) + x765)) * (((x341 / 1.4151791) + ((x563 + 0.9303023) * 11.160093)) + -15.442125))) - (x635 + x519))) * -0.663267) - ((x147 + x340) + x464))) + (x23 - 0.7712868))"
