Complexity,Loss,Equation
1,33.302017,"x768"
3,32.51857,"x768 - x699"
5,31.616163,"(x259 - x699) * 2.8931286"
6,31.533617,"square(x768 + x259) - x699"
7,30.877121,"((x259 - x699) * 2.767023) + x768"
9,30.21453,"((x768 + (x259 + -0.49907878)) - x699) * 2.380518"
10,30.190117,"-1.3141763 + (2.5433908 * (abs(x768) + (x259 - x699)))"
11,30.130497,"-1.3141763 + (2.5433908 * (x768 + ((x259 + x251) - x699)))"
13,30.116673,"(x351 + -1.2147709) + (2.5433908 * ((x259 + (x251 - x699)) + x768))"
14,30.064629,"(-1.3141763 + (2.5433908 * (abs(x768) + ((x259 + x251) - x699)))) - x576"
19,29.999603,"((x768 + -0.9448933) + ((((x259 + x259) - x699) + (x768 - x699)) - (x685 + x685))) * 1.3381531"
21,29.937014,"((x768 + -0.9448933) + ((((x259 + (x259 - x692)) - x699) + (x768 - x699)) - (x685 + x685))) * 1.3381531"
23,29.924337,"((x768 + -0.9448933) + (((((x259 + (x259 - x692)) - x699) + (x768 - x699)) - (x685 + x685)) * 1.3381531)) + x184"
24,29.897923,"(x768 + -0.9448933) + ((((((x259 + ((x259 - x692) - x29)) - x699) + x768) - x699) - (x685 + abs(x685))) * 1.3381531)"
26,29.847301,"((x768 + -0.9448933) + (1.3381531 * (((((x259 + ((x259 - x692) - abs(x327))) - x699) + x768) - x699) - (x685 + x685)))) - x411"
40,29.724394,"((((x259 - (x71 / -0.84711695)) + ((x259 - x698) - (x699 - x616))) + x768) + ((x259 - x699) - (((x259 + ((x685 + x771) - x143)) - ((x259 - sqrt(1.9202482)) + (x768 - x699))) + x685))) + x82"
44,29.63257,"((((x259 - (x71 / -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(x259 + ((x685 + ((x771 - x143) - ((x259 - sqrt(1.9202482)) + (x768 - x699)))) + x685)) + abs(x401))))) + x82"
45,29.632395,"((((x259 - (x71 / -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(x259 + ((x685 + ((x771 - x143) - ((x259 - sqrt(1.9202482)) + (x768 - x699)))) + x685)) + abs(square(x322)))))) + x82"
46,29.609337,"(((((x259 - (x71 / -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(x259 + ((x685 + ((x771 - x143) - ((x259 - sqrt(1.9202482)) + (x768 - x699)))) + x685)) + abs(x401))))) + x82) - x686"
47,29.594326,"((((x259 - (x71 * -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(abs(x259 + (x685 + (((x771 - x143) - ((x259 - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + x401)))) + x82"
50,29.584026,"(((((x259 - (x71 * -1.8659066)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - abs(abs(abs(x259 + (x685 + (((x771 - x143) - ((-0.10815186 - sqrt(7.6380024)) + (square(x768 + 1.0013647) - x699))) + x685)))) + x401)))) + x82) + x468"
52,29.581543,"((((((x259 - (x71 * -1.8659066)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - abs(abs(abs(x259 + (x685 + (((x771 - x143) - ((-0.10815186 - sqrt(7.6380024)) + (square(x768 + 1.0013647) - x699))) + x685)))) + x401)))) + x82) + x468) + x492"
55,29.568132,"((((x259 - (x71 * -1.6132802)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs((x259 + x685) + ((((x771 - x143) - x699) - (((((x259 - x289) - x698) - x699) - sqrt(2.4285007)) + (square(x768 + 0.35092184) - x699))) + x685)) + abs(x401))))) + x82"
56,29.552288,"((((x259 - (x71 * -0.84711695)) + ((x259 - x698) - x699)) - x616) + (x768 + ((x259 - x699) - (abs(abs(x259 + (x685 + ((((x771 - x143) - x699) - (((((x259 - -0.11429563) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + abs(x401))))) + x82"
59,29.539747,"(((x259 - (x71 * -0.84711695)) + ((x259 - x698) - x699)) - x616) + ((x768 + ((x259 - x699) - (abs(((x529 + x622) + x259) + (x685 + ((((x771 - x622) - x699) - (((((x259 - -0.11429563) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685))) + abs(x401)))) + x82)"
60,29.534378,"((((x259 - (x71 * -0.84711695)) + (x259 - x699)) - x616) + ((x768 + ((x259 - x699) - (abs(abs((x529 + (x622 + x259)) + (x685 + ((((x771 - x622) - x699) - (((((x259 - -0.11429563) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + abs(x401)))) + x82)) + x160"
62,29.526985,"((((x259 - (x71 * -0.84711695)) + (x259 - x699)) - x616) + ((x768 + ((x259 - x699) - (abs(abs((x529 + (x622 + x259)) + (x685 + ((((x771 - x622) - x699) - (((((x259 - (-0.34706697 + x512)) - x698) - x699) - sqrt(1.9202482)) + (square(x768 + 0.22597775) - x699))) + x685)))) + abs(x401)))) + x82)) + x160"
150,29.512905,"(((x259 - (x71 * -1.3170439)) + ((x259 - x698) - x699)) - x616) + ((x768 + (x259 - x699)) - abs(((x739 + abs((x259 + (((x771 - x622) - x699) - ((((x768 + (((((x768 + (x653 - x699)) - abs((((x529 + x622) + (x259 + abs((((x771 - x622) - x699) - ((((((x259 - -0.51851296) - x698) - x699) - sqrt(x259)) + square(x768 + 1.8076224)) - (x699 + x685))) + x685))) + abs(x401)) + x82)) - x699) - (x699 - abs((abs(x401) + ((x529 + (x622 + x259)) + abs(((x771 - x622) - x699) - (((((((x259 - -0.71419775) - (x698 - x699)) - sqrt(x259)) + square(x768 + 1.4731432)) - x699) + x685) + x260)))) + x82))) - x699)) - 0.76346445) + square((square(x768 + 0.37303385) - (x768 + -0.22835635)) + x685)) + x685))) + -0.09299424)) + abs(x401)) + x82))"
