Complexity,Loss,Equation
1,33.807262,"-0.05837137"
2,33.06277,"abs(x768)"
3,32.739822,"x768 - x504"
5,32.11034,"(x768 - 0.5039754) * 2.4572573"
8,31.257097,"(x768 - square(-0.91471833 + x259)) * 3.0107377"
10,31.245087,"((x768 - square(-0.91471833 + x259)) + x210) * 3.0107377"
12,31.226656,"((x768 - square(-0.91471833 + x259)) + (x21 * x168)) * 3.0107377"
15,31.124578,"(x768 - (square(-0.8542425 - (x547 * (0.7057317 / 1.0906632))) - abs(x259))) * 2.2745686"
16,31.058678,"(x768 - (x622 + ((x547 - -0.8542425) - abs(x473 + x259)))) * (2.521884 - 0.06964165)"
18,31.05313,"((x768 - (x622 + ((x547 - -0.8542425) - abs(x473 + x259)))) * (2.521884 - 0.06964165)) - -0.031670116"
23,30.9992,"((x257 + (0.3497933 - x259)) * -2.17914) - ((((x634 * 1.9432938) + 1.5859091) * (0.6480818 - abs(x768 - square(-0.20223305)))) - 0.39938924)"
24,30.988943,"((((x257 + 0.3497933) - x259) * -2.17914) - (((0.6480818 - (x768 - square(-0.20223305))) * ((x634 * 1.9432938) + 1.5859091)) - 0.39938924)) - x477"
28,30.935255,"x257 + (((0.3497933 - x259) * -2.17914) - ((((x634 * 1.9432938) + 1.4975665) * (0.6480818 - ((x760 - square(x544)) + abs(x768 - square(-0.20223305))))) - 0.39938924))"
36,30.880182,"(x257 + (0.3497933 - ((((x634 + 0.3039747) * 0.5302088) - x259) * 1.9432938))) - ((((1.7493217 - x210) + x634) * (0.6480818 - (x473 + ((x368 - square(x544)) + abs(square(x768 - x191)))))) - 0.39938924)"
52,30.867323,"(((x768 - abs(x634 * ((x768 - (x484 - x473)) - (2.0038526 - abs(x259))))) - (-1.0610275 - (x259 + x259))) - (abs(((1.2379158 - x687) * (x210 - ((0.55302536 - x761) + x221))) - 1.2951268) - square(((x622 * x473) + x368) - (x768 - square(x173))))) - (x73 + x657)"
53,30.758673,"((((x768 - x634) * abs((x768 - (x771 - x473)) - abs(abs((x612 - ((x625 - x761) + x221)) - 1.3854649)))) - (-1.4353886 - (x259 + x259))) - (((1.301868 - x687) * abs(x202 - 1.3854649)) - square((x382 * x622) + (x368 - square(x173 - x768))))) - (0.51730835 - x259)"
55,30.70796,"((((x768 - x634) * abs((x768 - (x771 - x473)) - abs(abs((x612 - ((x625 - x761) + x221)) - 1.3854649)))) - (-1.4353886 - (x259 + x259))) - (((1.301868 - x687) * abs((x612 - ((x625 - x761) + x221)) - 1.3854649)) - square(x368 - square(x173 - x768)))) - (0.51730835 - x259)"
59,30.115803,"((x634 * (x352 - 0.58118534)) - (((x699 + x154) - abs(x154 - -1.2690132)) - ((((x351 * 0.47414708) + ((x768 * x634) - ((x552 - x259) + x556))) - ((x545 - ((((x768 - 3.3843079) - ((x675 * -1.0647657) - x243)) + (x259 + -1.7418416)) + x293)) + 1.9524148)) - (-3.2907948 - abs((x699 + x154) - 1.9156816))))) * 1.7703698"
60,30.06591,"((x634 * (x352 - 1.5716023)) - (((x699 + x154) - (x154 - 0.062049665)) - ((((x351 * 0.5829814) + ((x768 * x634) - ((x552 - x259) + x556))) - ((x545 - ((((x768 - 4.8472743) - ((x675 * 0.0025769202) - x243)) + (x259 + -0.054962963)) + x293)) + 0.48532662)) - (-3.4040108 - abs(((x699 + x154) - x634) - 1.4395349))))) * 1.7783425"
74,30.007423,"((x634 * x556) - ((x678 - x154) + x699)) - ((x225 + (x678 + square(x154 - -0.058519214))) - (((x634 * x768) - (0.28788295 - x259)) + ((((x556 + 0.68400306) * x351) - (square(x270 * -0.44149202) - (((x768 - (3.140141 - ((x738 * -0.38173142) + 0.5763415))) - ((x768 * -1.3251572) - (x243 + (x259 + x293)))) + -3.3341815))) - (-3.0301247 - abs((x548 - ((x634 * x556) + x699)) - (x473 - 1.6843106))))))"
76,29.973799,"(((x634 * x556) - ((x678 - x154) + x699)) - ((x225 + (x678 + square(x154 - -0.058519214))) - (((x634 * x768) - (0.28788295 - x259)) + ((((x556 + 0.68400306) * x351) - (square(x270 * -0.44149202) - (((x768 - (3.140141 - ((x738 * -0.38173142) + 0.5763415))) - ((x768 * -1.3251572) - (x243 + (x259 + x293)))) + -3.3341815))) - (-3.0301247 - abs((x548 - ((x634 * x505) + x699)) - (x473 - 1.6843106))))))) - x383"
106,29.774294,"((((((x204 * -1.0511451) - abs(((0.18523099 * square(-1.5525271)) - x634) + x548)) + (x243 - x548)) + ((x259 + abs(x118)) + -0.7370909)) - (-2.7249625 - ((x27 - ((x678 - x154) + x699)) - abs(x473 - 4.3677363)))) - (square(x622 + ((x678 - x154) - -1.0511451)) - ((((x634 * x768) - (0.5761963 - x259)) + ((x351 * x556) - ((0.8738724 * square(x634)) - ((((x768 - (3.728507 - (x259 + (-0.23000915 * (x738 * x634))))) - (x768 * -1.0824361)) - (x259 + 0.46445855)) + (x243 + x259))))) - (-4.3637896 - abs((x19 - ((x634 * x556) + x699)) - (x473 - 3.6073284)))))) - 0.45701525"
108,29.750612,"(((((x204 * -1.0511451) - abs(((0.18523099 * square(-1.5525271)) - x634) + x548)) + ((x243 - x548) + ((x259 + abs(x118)) + -0.7370909))) - (-2.7249625 - ((x27 - ((x678 - x154) + x699)) - abs(x473 - 4.3677363)))) - (square(x622 + ((x678 - x154) - -1.0511451)) - ((((x634 * x768) - (0.5761963 - x259)) + ((x351 * x556) - ((0.8738724 * square(x634)) - ((((x768 - (3.728507 - (x259 + (-0.23000915 * (x738 * x634))))) - (x768 * -1.0824361)) - (x259 + 0.46445855)) + ((x243 - x338) + x259))))) - (-4.3637896 - abs((x19 - ((x634 * x556) + x699)) - (x473 - 3.6073284)))))) - 0.45701525"
