Complexity,Loss,Equation
1,36.864902,"x64"
2,36.37433,"sqrt(x28)"
3,29.91062,"x28 - x60"
5,28.932129,"(x28 - x60) + x64"
6,28.188152,"(sqrt(x26) + x28) - x61"
7,27.418901,"(sqrt(x28) - sqrt(x60)) * 2.6962707"
8,26.530264,"x28 - ((sqrt(x61) - x64) * x3)"
9,25.315493,"(sqrt(x28) - (sqrt(x61) - x64)) * 2.48799"
11,25.0488,"(sqrt(x28) - (sqrt(x60) - (x64 - 0.49377358))) * 2.826695"
12,24.08885,"(sqrt(x28) - (sqrt(x61) - sqrt(x64 * x27))) * 2.5133648"
13,24.01695,"2.5650935 * (sqrt(x28) - (sqrt(x61) - sqrt(sqrt(x64 * x27))))"
14,23.394886,"(sqrt(x26) + (x28 + ((sqrt(x61) - x64) * -2.214105))) - sqrt(x59)"
15,22.982643,"(sqrt(sqrt(x28)) * 5.110375) + (((sqrt(x61) - x64) * -2.2599626) - sqrt(x59))"
16,22.649487,"(sqrt(sqrt(x28)) * 4.5400777) + (((sqrt(sqrt(x61)) - x64) * -3.4515858) - sqrt(x59))"
17,21.917805,"((sqrt(x61) - x64) * -2.5619705) + ((sqrt(x26) + (sqrt(x28) * 2.644238)) - sqrt(x59))"
18,21.462076,"((((sqrt(x61) - x64) * -2.600637) + sqrt(x26)) + (sqrt(sqrt(x28)) * 3.9191406)) - sqrt(x59)"
19,21.349993,"((sqrt(x26) + ((sqrt(x61) - x64) * -2.6712947)) + (sqrt(sqrt(sqrt(x28))) * 4.766467)) - sqrt(x59)"
20,21.00885,"((sqrt(sqrt(x28)) * 4.5974245) + (((sqrt(x61) - x64) * -2.5531726) - sqrt(x59))) + (sqrt(x26) + -1.0301865)"
21,20.317282,"(sqrt(x26) + ((((sqrt(x61) - x64) * -2.3419843) - sqrt(x54)) + sqrt(sqrt(x28) * 22.851694))) - sqrt(x59)"
22,20.120712,"(((sqrt(sqrt(sqrt(x28))) + ((sqrt(x61) - x64) * -0.3788347)) * 5.9753942) + (sqrt(x26) - sqrt(x59))) - sqrt(x55)"
23,19.636837,"(((sqrt(x18 + x26) + ((sqrt(x61) - x64) * -2.3930454)) + sqrt(sqrt(x28 * 432.31537))) - sqrt(x59)) - sqrt(x55)"
24,19.1615,"(sqrt(x26) + ((((x64 - sqrt(x61)) * 2.625368) + sqrt(x18)) + (sqrt(sqrt(x28 * 317.45825)) - sqrt(x59)))) - sqrt(x55)"
