complexity,loss,equation,score,sympy_format,lambda_format
1,36.864902,x64,0.0,x64,PySRFunction(X=>x64)
2,36.37433,sqrt(x28),0.013396627012019883,sqrt(x28),PySRFunction(X=>sqrt(x28))
3,29.91062,x28 - x60,0.19564970479779067,x28 - x60,PySRFunction(X=>x28 - x60)
5,28.932129,x28 + (x64 - x60),0.016630446786166046,x28 - x60 + x64,PySRFunction(X=>x28 - x60 + x64)
6,28.188152,(x28 + sqrt(x26)) - x61,0.026050959892128363,sqrt(x26) + x28 - x61,PySRFunction(X=>sqrt(x26) + x28 - x61)
7,27.532913,square(x64 + sqrt(x28)) - x61,0.023519622417317653,-x61 + (sqrt(x28) + x64)**2,PySRFunction(X=>-x61 + (sqrt(x28) + x64)**2)
8,26.508638,((x64 + sqrt(x28)) * 2.5518322) - x61,0.0379114832562947,2.5518322*sqrt(x28) - x61 + 2.5518322*x64,PySRFunction(X=>2.5518322*sqrt(x28) - x61 + 2.5518322*x64)
9,26.45253,(square(x64 + sqrt(x28)) - x61) * 0.7638735,0.0021188362383265796,-0.7638735*x61 + 0.7638735*(sqrt(x28) + x64)**2,PySRFunction(X=>-0.7638735*x61 + 0.7638735*(sqrt(x28) + x64)**2)
10,26.039846,(((sqrt(x28) + x64) * 3.0664732) - x61) - 1.2109957,0.015723902559457673,3.0664732*sqrt(x28) - x61 + 3.0664732*x64 - 1.2109957,PySRFunction(X=>3.0664732*sqrt(x28) - x61 + 3.0664732*x64 - 1.2109957)
11,25.01667,(((x64 + sqrt(x28)) * 2.775104) - sqrt(x59)) - x60,0.04008550068853013,2.775104*sqrt(x28) - sqrt(x59) - x60 + 2.775104*x64,PySRFunction(X=>2.775104*sqrt(x28) - sqrt(x59) - x60 + 2.775104*x64)
13,24.11338,(((sqrt(x28) + x64) * 2.9857347) + (x61 * -0.7282959)) - sqrt(x59),0.0183877647481924,2.9857347*sqrt(x28) - sqrt(x59) - 0.7282959*x61 + 2.9857347*x64,PySRFunction(X=>2.9857347*sqrt(x28) - sqrt(x59) - 0.7282959*x61 + 2.9857347*x64)
14,23.013685,(sqrt(x26) + (((x64 + sqrt(x28)) * 2.6562777) - x61)) - sqrt(x59),0.046677834172637954,sqrt(x26) + 2.6562777*sqrt(x28) - sqrt(x59) - x61 + 2.6562777*x64,PySRFunction(X=>sqrt(x26) + 2.6562777*sqrt(x28) - sqrt(x59) - x61 + 2.6562777*x64)
16,22.323574,((x64 + sqrt(x28)) * 3.0283492) + ((sqrt(x26) - sqrt(x55 + x59)) - x61),0.015222894422202754,sqrt(x26) + 3.0283492*sqrt(x28) - x61 + 3.0283492*x64 - sqrt(x55 + x59),PySRFunction(X=>sqrt(x26) + 3.0283492*sqrt(x28) - x61 + 3.0283492*x64 - sqrt(x55 + x59))
