Complexity,Loss,Equation
1,36.864902,"x64"
2,36.37433,"sqrt(x28)"
3,29.91062,"x28 - x60"
5,28.932129,"(x64 - x60) + x28"
6,28.188152,"(sqrt(x26) + x28) - x61"
7,27.418917,"(sqrt(x28) - sqrt(x60)) * 2.6935432"
8,26.530264,"x28 + ((x64 - sqrt(x61)) * x3)"
9,25.315495,"((x64 + sqrt(x28)) - sqrt(x61)) * 2.487342"
11,24.935038,"((x64 + sqrt(x28)) - sqrt(x61 - -0.16560216)) * 2.748954"
12,24.355217,"(((x64 + sqrt(x28)) - sqrt(x60)) * 3.001486) - sqrt(x59)"
13,23.327246,"((sqrt(x28) + (x64 - sqrt(sqrt(x61)))) * 3.120937) - sqrt(x59)"
15,21.93623,"((((x64 + sqrt(x28)) - sqrt(x61)) * 2.585651) + sqrt(x26)) - sqrt(x59)"
16,21.909208,"sqrt(x26) - ((0.39168897 * x59) + (((x64 + sqrt(x28)) - sqrt(x61)) * -2.59473))"
17,21.66399,"((sqrt(x26) - sqrt(x59)) + (((x64 + sqrt(x28)) - sqrt(x61)) * 1.9134195)) / 0.73015153"
18,21.032633,"sqrt(x26) - (((x64 + (((x59 - x19) * -0.19079693) - sqrt(x61))) + sqrt(x28)) * -2.6696477)"
19,20.76761,"(((x64 + (sqrt(x28) - sqrt(x61))) * 2.585651) + sqrt(x22)) - ((x59 * 0.57702523) - sqrt(x26))"
20,20.183405,"sqrt(x26) - ((((x64 + sqrt(x28)) - sqrt(x61)) * -2.586687) + ((x59 + (x54 - x22)) * 0.39168897))"
21,19.85282,"(((sqrt(x28) + (x64 - sqrt(x61))) * 2.560934) + sqrt(x22)) - (sqrt(x54) + (sqrt(x59) - sqrt(x26)))"
22,19.271708,"sqrt(x26) - ((0.39168897 * (((x55 - x22) + x59) - x19)) + ((x64 + (sqrt(x28) - sqrt(x61))) * -2.59473))"
23,19.029188,"sqrt(x22) - ((((sqrt(x28) + x64) - sqrt(x61)) * -2.6567621) + ((0.44818088 * ((x55 + x59) - x18)) - sqrt(x26)))"
24,18.60238,"sqrt(x22) - ((((x64 + sqrt(x28)) - sqrt(x61)) * -2.6567621) + ((((x55 + x59) * 0.4586071) - sqrt(x18)) - sqrt(x26)))"
25,18.408283,"sqrt(x22) - (((((sqrt(x28) - sqrt(x61)) + x64) * -2.6392636) + ((x51 + ((x59 + x55) - x18)) * 0.3016552)) - sqrt(x26))"
