Complexity,Loss,Equation
1,36.864902,"x64"
2,36.37433,"sqrt(x28)"
3,29.91062,"x28 - x60"
5,28.932129,"(x28 - x60) + x64"
6,28.188152,"x28 - (x61 - sqrt(x26))"
7,27.418905,"(sqrt(x28) - sqrt(x60)) / 0.371011"
8,26.530264,"x28 + (x3 * (x64 - sqrt(x61)))"
9,25.315502,"((x64 + sqrt(x28)) - sqrt(x61)) / 0.40223908"
11,24.935968,"(x64 - (sqrt(0.18024328 + x61) - sqrt(x28))) / 0.36028853"
12,24.088522,"((sqrt(x28) + (x64 * sqrt(x27))) - sqrt(x61)) / 0.3961756"
13,24.010313,"((sqrt(x28) + (x64 * sqrt(sqrt(x27)))) - sqrt(x61)) / 0.37659776"
14,23.54598,"(((sqrt(x28) + (x64 - 0.8428981)) - sqrt(x61)) / 0.3791171) + sqrt(x26)"
15,21.936213,"((sqrt(x28) - (sqrt(x61) - x64)) / 0.3874401) + (sqrt(x26) - sqrt(x59))"
16,21.909065,"((sqrt(x28) - (sqrt(x61) - x64)) / 0.3874401) + (sqrt(x26) - (x59 * 0.3874401))"
17,21.68838,"((((sqrt(x28) - (sqrt(x61) - x64)) / 0.4846917) + sqrt(x26)) - sqrt(x59)) * 1.3092034"
18,21.425346,"sqrt(x27) + (((sqrt(x28) - (sqrt(x61) - x64)) / 0.38609907) + (sqrt(x19) - sqrt(x59)))"
19,21.12729,"((((sqrt(x28) + (((x59 - x19) - x26) * -0.16406961)) + x64) - sqrt(x61)) / 0.37352863) - 0.82879233"
20,20.617634,"(sqrt(x26) + (sqrt(x18) + (((sqrt(x28) - (sqrt(x61) - x64)) - 0.5847626) / 0.36554366))) - sqrt(x59)"
21,19.88379,"((((sqrt(x28) - (sqrt(x61) - x64)) / 0.38208058) + (sqrt(x26) + sqrt(x18))) - sqrt(x59)) - sqrt(x55)"
22,19.85301,"(sqrt(x22) + ((((sqrt(x28) - (sqrt(x61) - x64)) / 0.38625646) + sqrt(x26)) - sqrt(x59))) - sqrt(abs(x54))"
23,19.834192,"(((sqrt(x26) - sqrt(x59)) + (((sqrt(x28) - sqrt(x61)) - (x64 / -0.8950095)) / 0.40401143)) + sqrt(x22)) - sqrt(x55)"
24,19.154873,"((sqrt(x28) - (sqrt(x61) - x64)) / 0.38609907) + ((((sqrt(x26) + sqrt(x19)) - sqrt(x59)) - sqrt(x55)) + sqrt(x22))"
