complexity,loss,equation,score,sympy_format,lambda_format
1,33.302017,x768,0.0,x768,PySRFunction(X=>x768)
3,32.51857,x768 - x699,0.01190332747480175,-x699 + x768,PySRFunction(X=>-x699 + x768)
5,31.616163,(x259 - x699) * 2.8931286,0.014071416801733093,(x259 - x699)*2.8931286,PySRFunction(X=>(x259 - x699)*2.8931286)
6,31.533617,square(x768 + x259) - x699,0.0026142940486447363,-x699 + (x259 + x768)**2,PySRFunction(X=>-x699 + (x259 + x768)**2)
7,30.877121,((x259 - x699) * 2.767023) + x768,0.02103869417600149,x768 + (x259 - x699)*2.767023,PySRFunction(X=>x768 + (x259 - x699)*2.767023)
9,30.21453,((x768 + (x259 + -0.49907878)) - x699) * 2.380518,0.010846277220105964,(x259 - x699 + x768 - 0.49907878)*2.380518,PySRFunction(X=>(x259 - x699 + x768 - 0.49907878)*2.380518)
10,30.190117,-1.3141763 + (2.5433908 * (abs(x768) + (x259 - x699))),0.0008083153380312708,2.5433908*(x259 - x699 + Abs(x768)) - 1.3141763,PySRFunction(X=>2.5433908*(x259 - x699 + Abs(x768)) - 1.3141763)
11,30.130497,-1.3141763 + (2.5433908 * (x768 + ((x259 + x251) - x699))),0.0019767709730003124,2.5433908*(x251 + x259 - x699 + x768) - 1.3141763,PySRFunction(X=>2.5433908*(x251 + x259 - x699 + x768) - 1.3141763)
13,30.116673,(x351 + -1.2147709) + (2.5433908 * ((x259 + (x251 - x699)) + x768)),0.00022945476513847832,x351 + 2.5433908*(x251 + x259 - x699 + x768) - 1.2147709,PySRFunction(X=>x351 + 2.5433908*(x251 + x259 - x699 + x768) - 1.2147709)
14,30.064629,(-1.3141763 + (2.5433908 * (abs(x768) + ((x259 + x251) - x699)))) - x576,0.0017295741781663532,-x576 + 2.5433908*(x251 + x259 - x699 + Abs(x768)) - 1.3141763,PySRFunction(X=>-x576 + 2.5433908*(x251 + x259 - x699 + Abs(x768)) - 1.3141763)
19,29.999603,((x768 + -0.9448933) + ((((x259 + x259) - x699) + (x768 - x699)) - (x685 + x685))) * 1.3381531,0.0004330432487964714,(x259 + x259 - x699 - x699 + x768 + x768 - (x685 + x685) - 0.9448933)*1.3381531,PySRFunction(X=>(x259 + x259 - x699 - x699 + x768 + x768 - (x685 + x685) - 0.9448933)*1.3381531)
21,29.937014,((x768 + -0.9448933) + ((((x259 + (x259 - x692)) - x699) + (x768 - x699)) - (x685 + x685))) * 1.3381531,0.001044253511177943,(x259 + x259 - x692 - x699 - x699 + x768 + x768 - (x685 + x685) - 0.9448933)*1.3381531,PySRFunction(X=>(x259 + x259 - x692 - x699 - x699 + x768 + x768 - (x685 + x685) - 0.9448933)*1.3381531)
23,29.924337,((x768 + -0.9448933) + (((((x259 + (x259 - x692)) - x699) + (x768 - x699)) - (x685 + x685)) * 1.3381531)) + x184,0.00021177270438667463,x184 + x768 + (x259 + x259 - x692 - x699 - x699 + x768 - (x685 + x685))*1.3381531 - 0.9448933,PySRFunction(X=>x184 + x768 + (x259 + x259 - x692 - x699 - x699 + x768 - (x685 + x685))*1.3381531 - 0.9448933)
24,29.897923,(x768 + -0.9448933) + ((((((x259 + ((x259 - x692) - x29)) - x699) + x768) - x699) - (x685 + abs(x685))) * 1.3381531),0.0008830827092305755,x768 + (x259 + x259 - x29 - x692 - x699 - x699 + x768 - (x685 + Abs(x685)))*1.3381531 - 0.9448933,PySRFunction(X=>x768 + (x259 + x259 - x29 - x692 - x699 - x699 + x768 - (x685 + Abs(x685)))*1.3381531 - 0.9448933)
26,29.847301,((x768 + -0.9448933) + (1.3381531 * (((((x259 + ((x259 - x692) - abs(x327))) - x699) + x768) - x699) - (x685 + x685)))) - x411,0.0008472980553906214,-x411 + x768 + 1.3381531*(x259 + x259 - x692 - x699 - x699 + x768 - (x685 + x685) - Abs(x327)) - 0.9448933,PySRFunction(X=>-x411 + x768 + 1.3381531*(x259 + x259 - x692 - x699 - x699 + x768 - (x685 + x685) - Abs(x327)) - 0.9448933)
