complexity,loss,equation,score,sympy_format,lambda_format
1,36.864902,x64,0.0,x64,PySRFunction(X=>x64)
2,36.37433,sqrt(x28),0.013396627012019883,sqrt(x28),PySRFunction(X=>sqrt(x28))
3,29.91062,x28 - x60,0.19564970479779067,x28 - x60,PySRFunction(X=>x28 - x60)
5,28.932129,(x28 - x60) + x64,0.016630446786166046,x28 - x60 + x64,PySRFunction(X=>x28 - x60 + x64)
6,28.188152,(sqrt(x26) + x28) - x61,0.026050959892128363,sqrt(x26) + x28 - x61,PySRFunction(X=>sqrt(x26) + x28 - x61)
7,27.418901,(sqrt(x28) - sqrt(x60)) * 2.6962707,0.027669154718254815,2.6962707*sqrt(x28) - 2.6962707*sqrt(x60),PySRFunction(X=>2.6962707*sqrt(x28) - 2.6962707*sqrt(x60))
8,26.530264,x28 - ((sqrt(x61) - x64) * x3),0.03294647399852153,x28 - x3*(sqrt(x61) - x64),PySRFunction(X=>x28 - x3*(sqrt(x61) - x64))
9,25.315493,(sqrt(x28) - (sqrt(x61) - x64)) * 2.48799,0.04686953924697142,2.48799*sqrt(x28) - 2.48799*sqrt(x61) + 2.48799*x64,PySRFunction(X=>2.48799*sqrt(x28) - 2.48799*sqrt(x61) + 2.48799*x64)
11,25.0488,(sqrt(x28) - (sqrt(x60) - (x64 - 0.49377358))) * 2.826695,0.005295328830110292,2.826695*sqrt(x28) - 2.826695*sqrt(x60) + 2.826695*x64 - 1.3957473097181,PySRFunction(X=>2.826695*sqrt(x28) - 2.826695*sqrt(x60) + 2.826695*x64 - 1.3957473097181)
12,24.08885,(sqrt(x28) - (sqrt(x61) - sqrt(x64 * x27))) * 2.5133648,0.03907684435498986,2.5133648*sqrt(x28) - 2.5133648*sqrt(x61) + 2.5133648*sqrt(x27*x64),PySRFunction(X=>2.5133648*sqrt(x28) - 2.5133648*sqrt(x61) + 2.5133648*sqrt(x27*x64))
13,24.01695,2.5650935 * (sqrt(x28) - (sqrt(x61) - sqrt(sqrt(x64 * x27)))),0.0029892467660492163,2.5650935*sqrt(x28) - 2.5650935*sqrt(x61) + 2.5650935*(x27*x64)**(1/4),PySRFunction(X=>2.5650935*sqrt(x28) - 2.5650935*sqrt(x61) + 2.5650935*(x27*x64)**(1/4))
14,23.394886,(sqrt(x26) + (x28 + ((sqrt(x61) - x64) * -2.214105))) - sqrt(x59),0.026242379600544315,sqrt(x26) + x28 - sqrt(x59) - 2.214105*sqrt(x61) + 2.214105*x64,PySRFunction(X=>sqrt(x26) + x28 - sqrt(x59) - 2.214105*sqrt(x61) + 2.214105*x64)
15,22.982643,(sqrt(sqrt(x28)) * 5.110375) + (((sqrt(x61) - x64) * -2.2599626) - sqrt(x59)),0.017778172608285674,5.110375*x28**(1/4) - sqrt(x59) - 2.2599626*sqrt(x61) + 2.2599626*x64,PySRFunction(X=>5.110375*x28**(1/4) - sqrt(x59) - 2.2599626*sqrt(x61) + 2.2599626*x64)
